name;classes;school;cast_time;range;duration;material_cost;verbal;somatic;date
Lightning Bolt;Sorcerer, Wizard;Evocation;Action;0.00;Instantaneous;a bit of fur and a rod of amber, crystal, or glass;1;1;27/05/14
Locate Animals or Plants;Bard, Druid, Ranger;Divination;Action;0.00;Instantaneous;a bit of fur from a bloodhound;1;1;27/05/14
Locate Creature;Bard, Cleric, Druid, Paladin, Ranger, Wizard;Divination;Action;0.00;Concentration, up to 1 hour;a bit of fur from a bloodhound;1;1;27/05/14
Locate Object;Bard, Cleric, Druid, Paladin, Ranger, Wizard;Divination;Action;0.00;Concentration, up to 10 minutes;a forked twig;1;1;27/05/14
Longstrider;Artificer, Bard, Druid, Ranger, Wizard;Transmutation;Action;0.00;1 hour;a pinch of dirt;1;1;27/05/14
Mage Armor;Sorcerer, Wizard;Abjuration;Action;0.00;8 hours;a piece of cured leather;1;1;27/05/14
Mage Hand;Artificer, Bard, Sorcerer, Warlock, Wizard;Conjuration;Action;9.15;1 minute;;1;1;27/05/14
Magic Circle;Cleric, Paladin, Warlock, Wizard;Abjuration;1 Minute;3.05;1 hour;holy water or powdered silver and iron worth at least 100 gp, which the spell consumes;1;1;27/05/14
Magic Jar;Wizard;Necromancy;1 Minute;0.00;Until dispelled;a gem, crystal, reliquary, or some other ornamental container worth at least 500 gp;1;1;27/05/14
Magic Missile;Sorcerer, Wizard;Evocation;Action;36.58;Instantaneous;;1;1;27/05/14
Magic Mouth;Artificer, Bard, Wizard;Illusion;1 Minute;9.15;Until dispelled;a small bit of honeycomb and jade dust worth at least 10 gp, which the spell consumes;1;1;27/05/14
Magic Weapon;Artificer, Paladin, Ranger, Sorcerer, Wizard;Transmutation;Bonus;0.00;Concentration, up to 1 hour;;1;1;27/05/14
Magnify Gravity;Wizard;Transmutation;Action;18.29;1 round;;1;1;27/05/14
Major Image;Bard, Sorcerer, Warlock, Wizard;Illusion;Action;36.58;Concentration, up to 10 minutes;a bit of fleece;1;1;27/05/14
Mass Cure Wounds;Bard, Cleric, Druid;Evocation;Action;18.29;Instantaneous;;1;1;27/05/14
Mass Heal;Cleric;Evocation;Action;18.29;Instantaneous;;1;1;27/05/14
Mass Healing Word;Bard, Cleric;Evocation;Bonus;18.29;Instantaneous;;1;0;27/05/14
Mass Suggestion;Bard, Sorcerer, Warlock, Wizard;Enchantment;Action;18.29;24 hours;a snake's tongue and either a bit of honeycomb or a drop of sweet oil;1;0;27/05/14
Maze;Wizard;Conjuration;Action;18.29;Concentration, up to 10 minutes;;1;1;27/05/14
Meld into Stone;Cleric, Druid, Ranger;Transmutation;Action;0.00;8 hours;;1;1;27/05/14
Melf's Acid Arrow;Wizard;Evocation;Action;27.43;Instantaneous;powdered rhubarb leaf and an adder's stomach;1;1;27/05/14
Mending;Artificer, Bard, Cleric, Druid, Sorcerer, Wizard;Transmutation;1 Minute;0.00;Instantaneous;two lodestones;1;1;27/05/14
Message;Artificer, Bard, Sorcerer, Wizard;Transmutation;Action;36.58;1 round;a short piece of copper wire;1;1;27/05/14
Meteor Swarm;Sorcerer, Wizard;Evocation;Action;1609.34;Instantaneous;;1;1;27/05/14
Mind Blank;Bard, Wizard;Abjuration;Action;0.00;24 hours;;1;1;27/05/14
Minor Illusion;Bard, Sorcerer, Warlock, Wizard;Illusion;Action;9.15;1 minute;A bit of fleece;0;1;27/05/14
Mirage Arcane;Bard, Druid, Wizard;Illusion;10 Minutes;;10 days;;1;1;27/05/14
Mirror Image;Bard, Sorcerer, Warlock, Wizard;Illusion;Action;0.00;1 minute;;1;1;27/05/14
Mislead;Bard, Warlock, Wizard;Illusion;Action;0.00;Concentration, up to 1 hour;;0;1;27/05/14
Misty Step;Sorcerer, Warlock, Wizard;Conjuration;Bonus;0.00;Instantaneous;;1;0;27/05/14
Modify Memory;Bard, Warlock, Wizard;Enchantment;Action;9.15;Concentration, up to 1 minute;;1;1;27/05/14
Moonbeam;Druid;Evocation;Action;36.58;Concentration, up to 1 minute;several seeds of any moonseed plant and a piece of opalescent feldspar;1;1;27/05/14
Mordenkainen's Faithful Hound;Artificer, Wizard;Conjuration;Action;9.15;8 hours;a tiny silver whistle, a piece of bone, and a thread;1;1;27/05/14
Mordenkainen's Magnificent Mansion;Bard, Wizard;Conjuration;1 Minute;91.44;24 hours;a miniature portal carved from ivory, a small piece of polished marble, and a tiny silver spoon, each item worth at least 5 gp;1;1;27/05/14
Mordenkainen's Private Sanctum;Artificer, Wizard;Abjuration;Action;36.58;24 hours;a thin sheet of lead, a piece of opaque glass, a wad of cotton or cloth, and powdered chrysolite;1;1;27/05/14
Mordenkainen's Sword;Bard, Wizard;Evocation;Action;18.29;Concentration, up to 1 minute;a miniature platinum sword with a grip and pommel of copper and zinc, worth 250 gp;1;1;27/05/14
Motivational Speech;Bard, Cleric;Enchantment;1 Hour;18.29;1 hour;;1;0;27/05/14
Move Earth;Druid, Sorcerer, Wizard;Transmutation;Action;36.58;Concentration, up to 2 hours;an iron blade and a small bag containing a mixture of soils – clay, loam, and sand;1;1;27/05/14
Nondetection;Bard, Ranger, Wizard;Abjuration;Action;0.00;8 hours;a pinch of diamond dust worth 25 gp sprinkled over the target, which the spell consumes;1;1;27/05/14
Nystul's Magic Aura;Wizard;Illusion;Action;0.00;24 hours;a small square of silk;1;1;27/05/14
Otiluke's Freezing Sphere;Sorcerer, Wizard;Evocation;Action;91.44;Instantaneous;a small crystal sphere;1;1;27/05/14
Otiluke's Resilient Sphere;Artificer, Wizard;Evocation;Action;9.15;Concentration, up to 1 minute;a hemispherical piece of clear crystal and a matching hemispherical piece of gum arabic;1;1;27/05/14
Otto's Irresistible Dance;Bard, Wizard;Enchantment;Action;9.15;Concentration, up to 1 minute;;1;0;27/05/14
Pass Without Trace;Druid, Ranger;Abjuration;Action;0.00;Concentration, up to 1 hour;ashes from a burned leaf of mistletoe and a sprig of spruce;1;1;27/05/14
Passwall;Wizard;Transmutation;Action;9.15;1 hour;a pinch of sesame seeds;1;1;27/05/14
Phantasmal Force;Bard, Sorcerer, Wizard;Illusion;Action;18.29;Concentration, up to 1 minute;a bit of fleece;1;1;27/05/14
Phantasmal Killer;Bard, Wizard;Illusion;Action;36.58;Concentration, up to 1 minute;;1;1;27/05/14
Phantom Steed;Wizard;Illusion;Action;9.15;1 hour;;1;1;27/05/14
Planar Ally;Cleric;Conjuration;Action;18.29;Instantaneous;;1;1;27/05/14
Planar Binding;Bard, Cleric, Druid, Warlock, Wizard;Abjuration;Action;18.29;24 hours;a jewel worth at least 1,000 gp, which the spell consumes;1;1;27/05/14
Plane Shift;Cleric, Druid, Sorcerer, Warlock, Wizard;Conjuration;Action;0.00;Instantaneous;a forked, metal rod worth at least 250 gp, attuned to a particular plane of existence;1;1;27/05/14
Plant Growth;Bard, Druid, Ranger;Transmutation;Action;45.72;Instantaneous;;1;1;27/05/14
Poison Spray;Artificer, Druid, Sorcerer, Warlock, Wizard;Conjuration;Action;3.05;Instantaneous;;1;1;27/05/14
Polymorph;Bard, Druid, Sorcerer, Wizard;Transmutation;Action;18.29;Concentration, up to 1 hour;a caterpillar cocoon;1;1;27/05/14
Power Word: Heal;Bard, Cleric;Evocation;Action;0.00;Instantaneous;;1;1;27/05/14
Power Word: Kill;Bard, Sorcerer, Warlock, Wizard;Enchantment;Action;18.29;Instantaneous;;1;0;27/05/14
Power Word: Stun;Bard, Sorcerer, Warlock, Wizard;Enchantment;Action;18.29;Instantaneous;;1;1;27/05/14
Prayer of Healing;Cleric, Paladin;Evocation;10 Minutes;0.00;Instantaneous;;1;0;27/05/14
Prestidigitation;Artificer, Bard, Sorcerer, Warlock, Wizard;Transmutation;Action;3.05;Up to 1 hour;;1;1;27/05/14
Prismatic Wall;Bard, Wizard;Abjuration;Action;18.29;10 minutes;;1;1;27/05/14
Produce Flame;Druid;Conjuration;Action;0.00;10 minutes;;1;1;27/05/14
Programmed Illusion;Bard, Wizard;Illusion;Action;36.58;Until dispelled;a bit of fleece and jade dust worth at least 25 gp;1;1;27/05/14
Project Image;Bard, Warlock, Wizard;Illusion;Action;804672.00;Concentration, up to 1 day;a small replica of you made from materials worth at least 5 gp;1;1;27/05/14
Protection from Energy;Artificer, Cleric, Druid, Ranger, Sorcerer, Wizard;Abjuration;Action;0.00;Concentration, up to 1 hour;;1;1;27/05/14
Protection from Evil and Good;Cleric, Druid, Paladin, Warlock, Wizard;Abjuration;Action;0.00;Concentration, up to 10 minutes;holy water or powdered silver and iron, which the spell consumes;1;1;27/05/14
Protection from Poison;Artificer, Cleric, Druid, Paladin, Ranger;Abjuration;Action;0.00;1 hour;;1;1;27/05/14
Purify Food and Drink;Artificer, Cleric, Druid, Paladin;Transmutation;Action;3.05;Instantaneous;;1;1;27/05/14
Raise Dead;Bard, Cleric, Paladin;Necromancy;Action;0.00;Instantaneous;a diamond worth at least 500 gp, which the spell consumes;1;1;27/05/14
Rary's Telepathic Bond;Bard, Wizard;Divination;Action;9.15;1 hour;pieces of eggshell from two different kinds of creatures;1;1;27/05/14
Ravenous Void;Wizard;Evocation;Action;304.80;Concentration, up to 1 minute;a small, nine-pointed star made of iron;1;1;27/05/14
Ray of Enfeeblement;Warlock, Wizard;Necromancy;Action;18.29;Concentration, up to 1 minute;;1;1;27/05/14
Ray of Frost;Artificer, Sorcerer, Wizard;Evocation;Action;18.29;Instantaneous;;1;1;27/05/14
Ray of Sickness;Sorcerer, Wizard;Necromancy;Action;18.29;Instantaneous;;1;1;27/05/14
Reality Break;Wizard;Conjuration;Action;18.29;Concentration, up to 1 minute;a crystal prism;1;1;27/05/14
Regenerate;Bard, Cleric, Druid;Transmutation;1 Minute;0.00;1 hour;a prayer wheel and holy water;1;1;27/05/14
Reincarnate;Druid;Transmutation;Action;0.00;Instantaneous;rare oils and unguents worth at least 1,000 gp, which the spell consumes;1;1;27/05/14
Remove Curse;Cleric, Paladin, Warlock, Wizard;Abjuration;Action;0.00;Instantaneous;;1;1;27/05/14
Resistance;Artificer, Cleric, Druid;Abjuration;Action;0.00;Concentration, up to 1 minute;a miniatrue cloak;1;1;27/05/14
Resurrection;Bard, Cleric;Necromancy;1 Hour;0.00;Instantaneous;a diamond worth at least 1,000 gp, which the spell consumes;1;1;27/05/14
Reverse Gravity;Druid, Sorcerer, Wizard;Transmutation;Action;30.48;Concentration, up to 1 minute;a lodestone and iron filings;1;1;27/05/14
Revivify;Artificer, Cleric, Druid, Paladin, Ranger;Necromancy;Action;0.00;Instantaneous;diamonds worth 300 gp, which the spell consumes;1;1;27/05/14
Rope Trick;Artificer, Wizard;Transmutation;Action;0.00;1 hour;powdered corn extract and a twisted loop of parchment;1;1;27/05/14
Sacred Flame;Cleric;Evocation;Action;18.29;Instantaneous;;1;1;27/05/14
Sanctuary;Artificer, Cleric;Abjuration;Bonus;9.15;1 minute;a small silver mirror;1;1;27/05/14
Scorching Ray;Sorcerer, Wizard;Evocation;Action;36.58;Instantaneous;;1;1;27/05/14
Scrying;Bard, Cleric, Druid, Warlock, Wizard;Divination;10 Minutes;0.00;Concentration, up to 10 minutes;a focus worth at least 1,000 gp, such as a crystal ball, a silver mirror, or a font filled with holy water;1;1;27/05/14
Searing Smite;Paladin, Ranger;Evocation;Bonus;0.00;Concentration, up to 1 minute;;1;0;27/05/14
See Invisibility;Artificer, Bard, Sorcerer, Wizard;Divination;Action;0.00;1 hour;pinch of talc and a small sprinkling of powdered silver;1;1;27/05/14
Seeming;Bard, Sorcerer, Wizard;Illusion;Action;9.15;8 hours;;1;1;27/05/14
Sending;Bard, Cleric, Wizard;Evocation;Action;;1 round;a short piece of fine copper wire;1;1;27/05/14
Sequester;Wizard;Transmutation;Action;0.00;Until dispelled;a powder composed of diamond, emerald, ruby, and sapphire dust worth at least 5,000 gp, which the spell consumes;1;1;27/05/14
Shapechange;Druid, Warlock, Wizard;Transmutation;Action;0.00;Concentration, up to 1 hour;a jade circlet worth at least 1,500 gp, which you must place on your head before you cast the spell;1;1;27/05/14
Shatter;Bard, Sorcerer, Warlock, Wizard;Evocation;Action;18.29;Instantaneous;a chip of mica;1;1;27/05/14
Shield;Sorcerer, Wizard;Abjuration;Reaction;0.00;1 round;;1;1;27/05/14
Shield of Faith;Cleric, Paladin;Abjuration;Bonus;18.29;Concentration, up to 1 minute;a small parchment with a bit of holy text written on it;1;1;27/05/14
Shillelagh;Druid;Transmutation;Bonus;0.00;1 minute;mistletoe, a shamrock leaf, and a club or quarterstaff;1;1;27/05/14
Shocking Grasp;Artificer, Sorcerer, Wizard;Evocation;Action;0.00;Instantaneous;;1;1;27/05/14
Silence;Bard, Cleric, Ranger;Illusion;Action;36.58;Concentration, up to 10 minutes;;1;1;27/05/14
Silent Image;Bard, Sorcerer, Wizard;Illusion;Action;18.29;Concentration, up to 10 minutes;a bit of fleece;1;1;27/05/14
Simulacrum;Wizard;Illusion;12 Hours;0.00;Until dispelled;snow or ice in quantities sufficient to made a life-size copy of the duplicated creature, some hair, fingernail clippings, or other piece of that creature's body placed inside the snow or ice, and powdered ruby worth 1,500 gp, sprinkled over the duplicate and consumed by the spell;1;1;27/05/14
Sleep;Bard, Sorcerer, Wizard;Enchantment;Action;27.43;1 minute;a pinch of fine sand, rose petals, or a cricket;1;1;27/05/14
Sleet Storm;Druid, Sorcerer, Wizard;Conjuration;Action;36.58;Concentration, up to 1 minute;a pinch of dust and a few drops of water;1;1;27/05/14
Slow;Bard, Sorcerer, Wizard;Transmutation;Action;36.58;Concentration, up to 1 minute;a drop of molasses;1;1;27/05/14
Spare the Dying;Artificer, Cleric;Necromancy;Action;0.00;Instantaneous;;1;1;27/05/14
Speak with Animals;Bard, Druid, Ranger;Divination;Action;0.00;10 minutes;;1;1;27/05/14
Speak with Dead;Bard, Cleric, Wizard;Necromancy;Action;3.05;10 minutes;burning incense;1;1;27/05/14
Speak with Plants;Bard, Druid, Ranger;Transmutation;Action;0.00;10 minutes;;1;1;27/05/14
Spider Climb;Artificer, Sorcerer, Warlock, Wizard;Transmutation;Action;0.00;Concentration, up to 1 hour;a drop of bitumen and a spider;1;1;27/05/14
Spike Growth;Druid, Ranger;Transmutation;Action;45.72;Concentration, up to 10 minutes;seven sharp thorns or seven small twigs, each sharpened to a point;1;1;27/05/14
Spirit Guardians;Cleric;Conjuration;Action;0.00;Concentration, up to 10 minutes;a holy symbol;1;1;27/05/14
Spirit Shroud;Cleric, Paladin, Warlock, Wizard;Necromancy;Bonus;0.00;Concentration, up to 1 minute;;1;1;27/05/14
Spiritual Weapon;Cleric;Evocation;Bonus;18.29;1 minute;;1;1;27/05/14
Staggering Smite;Paladin;Evocation;Bonus;0.00;Concentration, up to 1 minute;;1;0;27/05/14
Stinking Cloud;Bard, Sorcerer, Wizard;Conjuration;Action;27.43;Concentration, up to 1 minute;a rotten egg or several skunk cabbage leaves;1;1;27/05/14
Stone Shape;Artificer, Cleric, Druid, Wizard;Transmutation;Action;0.00;Instantaneous;soft clay, which must be worked into roughly the desired shape of the stone object;1;1;27/05/14
Stoneskin;Artificer, Druid, Ranger, Sorcerer, Wizard;Abjuration;Action;0.00;Concentration, up to 1 hour;diamond dust worth 100 gp, which the spell consumes;1;1;27/05/14
Storm of Vengeance;Druid;Conjuration;Action;;Concentration, up to 1 minute;;1;1;27/05/14
Suggestion;Bard, Sorcerer, Warlock, Wizard;Enchantment;Action;9.15;Concentration, up to 8 hours;a snake's tongue and either a bit of honeycomb or a drop of sweet oil;1;0;27/05/14
Sunbeam;Cleric, Druid, Sorcerer, Wizard;Evocation;Action;0.00;Concentration, up to 1 minute;a magnifying glass;1;1;27/05/14
Sunburst;Cleric, Druid, Sorcerer, Wizard;Evocation;Action;45.72;Instantaneous;fire and a piece of sunstone;1;1;27/05/14
Swift Quiver;Ranger;Transmutation;Bonus;0.00;Concentration, up to 1 minute;a quiver containing at least one piece of ammunition;1;1;27/05/14
Symbol;Bard, Cleric, Druid, Wizard;Abjuration;1 Minute;0.00;Until dispelled or triggered;mercury, phosphorus, and powdered diamond and opal with a total value of at least 1,000 gp, which the spell consumes;1;1;27/05/14
Tasha's Hideous Laughter;Bard, Wizard;Enchantment;Action;9.15;Concentration, up to 1 minute;tiny tarts and a feather that is waved in the air;1;1;27/05/14
Telekinesis;Sorcerer, Wizard;Transmutation;Action;18.29;Concentration, up to 10 minutes;;1;1;27/05/14
Telepathy;Wizard;Evocation;Action;;24 hours;a pair of linked silver rings;1;1;27/05/14
Teleport;Bard, Sorcerer, Wizard;Conjuration;Action;3.05;Instantaneous;;1;0;27/05/14
Teleportation Circle;Bard, Sorcerer, Warlock, Wizard;Conjuration;Action;3.05;1 round;rare chalks and inks infused with precious gems with 50 gp, which the spell consumes;1;0;27/05/14
Tenser's Floating Disk;Wizard;Conjuration;Action;9.15;1 hour;a drop of mercury;1;1;27/05/14
Thaumaturgy;Cleric;Transmutation;Action;9.15;Up to 1 minute;;1;0;27/05/14
Thorn Whip;Artificer, Druid;Transmutation;Action;9.15;Instantaneous;the stem of a plant with thorns;1;1;27/05/14
Thunderous Smite;Paladin;Evocation;Bonus;0.00;Concentration, up to 1 minute;;1;0;27/05/14
Thunderwave;Bard, Druid, Sorcerer, Wizard;Evocation;Action;0.00;Instantaneous;;1;1;27/05/14
Time Stop;Sorcerer, Wizard;Transmutation;Action;0.00;Instantaneous;;1;0;27/05/14
Tongues;Bard, Cleric, Sorcerer, Warlock, Wizard;Divination;Action;0.00;1 hour;a small clay model of a ziggurat;1;0;27/05/14
Transport via Plants;Druid;Conjuration;Action;3.05;1 round;;1;1;27/05/14
Tree Stride;Druid, Ranger;Conjuration;Action;0.00;Concentration, up to 1 minute;;1;1;27/05/14
True Polymorph;Bard, Warlock, Wizard;Transmutation;Action;9.15;Concentration, up to 1 hour;a drop of mercury, a dollop of gum arabic, and a wisp of smoke;1;1;27/05/14
True Resurrection;Cleric, Druid;Necromancy;1 Hour;0.00;Instantaneous;a sprinkle of holy water and diamonds worth at least 25,000 gp, which the spell consumes;1;1;27/05/14
True Seeing;Bard, Cleric, Sorcerer, Warlock, Wizard;Divination;Action;0.00;1 hour;an ointment for the eyes that costs 25 gp, is made from mushroom powder, saffron, and fat, and is consumed by the spell;1;1;27/05/14
True Strike;Bard, Sorcerer, Warlock, Wizard;Divination;Action;9.15;Concentration up to 1 round;;0;1;27/05/14
Tsunami;Druid;Conjuration;Action;;Concentration, up to 6 rounds;;1;1;27/05/14
Unseen Servant;Bard, Warlock, Wizard;Conjuration;Action;18.29;1 hour;a piece of string and a bit of wood;1;1;27/05/14
Vampiric Touch;Sorcerer, Warlock, Wizard;Necromancy;Action;0.00;Concentration, up to 1 minute;;1;1;27/05/14
Vicious Mockery;Bard;Enchantment;Action;18.29;Instantaneous;;1;0;27/05/14
Wall of Fire;Druid, Sorcerer, Wizard;Evocation;Action;36.58;Concentration, up to 1 minute;a small piece of phosphorus;1;1;27/05/14
Wall of Force;Wizard;Evocation;Action;36.58;Concentration, up to 10 minutes;a pinch of powder made by crushing a clear gemstone;1;1;27/05/14
Wall of Ice;Wizard;Evocation;Action;36.58;Concentration, up to 10 minutes;a small piece of quartz;1;1;27/05/14
Wall of Stone;Artificer, Druid, Sorcerer, Wizard;Evocation;Action;36.58;Concentration, up to 10 minutes;a small block of granite;1;1;27/05/14
Wall of Thorns;Druid;Conjuration;Action;36.58;Concentration, up to 10 minutes;a handful of thorns;1;1;27/05/14
Warding Bond;Cleric, Paladin;Abjuration;Action;0.00;1 hour;a pair of platinum rings worth at least 50 gp each, which you and target must wear for the duration;1;1;27/05/14
Water Breathing;Artificer, Druid, Ranger, Sorcerer, Wizard;Transmutation;Action;9.15;24 hours;a short reed or piece of straw;1;1;27/05/14
Water Walk;Artificer, Cleric, Druid, Ranger, Sorcerer;Transmutation;Action;9.15;1 hour;a piece of cork;1;1;27/05/14
Web;Artificer, Sorcerer, Wizard;Conjuration;Action;18.29;Concentration, up to 1 hour;a bit of spiderweb;1;1;27/05/14
Weird;Warlock, Wizard;Illusion;Action;36.58;Concentration, up to 1 minute;;1;1;27/05/14
Wind Walk;Druid;Transmutation;1 Minute;9.15;8 hours;fire and holy water;1;1;27/05/14
Wind Wall;Druid, Ranger;Evocation;Action;36.58;Concentration, up to 1 minute;a tiny fan and a feather of exotic origin;1;1;27/05/14
Wish;Sorcerer, Wizard;Conjuration;Action;0.00;Instantaneous;;1;0;27/05/14
Witch Bolt;Sorcerer, Warlock, Wizard;Evocation;Action;9.15;Concentration, up to 1 minute;a twig from a tree that has been struck by lightning;1;1;27/05/14
Word of Recall;Cleric;Conjuration;Action;1.52;Instantaneous;;1;0;27/05/14
Wrathful Smite;Paladin;Evocation;Bonus;0.00;Concentration, up to 1 minute;;1;0;27/05/14
Zone of Truth;Bard, Cleric, Paladin;Enchantment;Action;18.29;10 minutes;;1;1;27/05/14
Acid Stream (UA);Sorcerer, Wizard;Evocation;Action;0.00;Concentration, up to 1 minute;a bit of rotten food;1;1;02/02/15
Arcane Hacking (UA);Sorcerer, Warlock, Wizard;Transmutation;Action;0.00;Concentration, up to 1 hour;hacking tools;1;1;02/02/15
Arcane Weapon (UA);Artificer;Transmutation;Bonus;0.00;Concentration, up to 1 hour;;1;1;02/02/15
Commune with City (UA);Sorcerer, Warlock, Wizard;Divination;1 Minute;0.00;Instantaneous;;1;1;02/02/15
Conjure Barlgura (UA);Sorcerer, Wizard;Conjuration;Action;18.29;Up to 10 minutes;;1;1;02/02/15
Conjure Hezrou (UA);Sorcerer, Wizard;Conjuration;Action;18.29;Concentration, up to 1 hour;food worth at least 100 gp, which the spell consumes;1;1;02/02/15
Conjure Knowbot (UA);Sorcerer, Warlock, Wizard;Conjuration;Action;0.00;10 minutes;;1;1;02/02/15
Conjure Lesser Demon (UA);Sorcerer, Wizard;Conjuration;Action;18.29;Concentration, up to 1 hour;a vial of blood from an intelligent humanoid killed within the past 24 hours;1;1;02/02/15
Conjure Shadow Demon (UA);Sorcerer, Wizard;Conjuration;Action;18.29;Concentration, up to 1 hour;a vial of blood from an intelligent humanoid killed within the past 24 hours;1;1;02/02/15
Conjure Vrock (UA);Sorcerer, Wizard;Conjuration;Action;18.29;Concentration, up to 1 hour;a gem worth at least 100 gp, which the spell consumes;1;1;02/02/15
Digital Phantom (UA);Sorcerer, Warlock, Wizard;Abjuration;Action;0.00;Concentration, up to 1 hour;a small piece of copper wire;1;1;02/02/15
Draconic Transformation (UA);Druid, Sorcerer, Wizard;Transmutation;Bonus;0.00;Concentration, up to 1 minute;a statuette of a dragon, worth at least 500 gp;1;1;02/02/15
Ego Whip (UA);Sorcerer, Warlock, Wizard;Enchantment;Action;9.15;Concentration, up to 1 minute;;1;0;02/02/15
Find Vehicle (UA);Paladin, Sorcerer, Warlock, Wizard;Conjuration;10 Minutes;9.15;8 hours;;1;1;02/02/15
Fizban's Platinum Shield (UA);Sorcerer, Wizard;Abjuration;Action;18.29;Concentration, up to 1 minute;a platinum-plated dragon scale, worth at least 500 gp;1;1;02/02/15
Guiding Hand (UA);Bard, Cleric, Druid, Wizard;Divination;1 Minute;1.52;Concentration, up to 8 hours;;1;1;02/02/15
Hand of Radiance (UA);Cleric;Evocation;Action;1.52;Instantaneous;;1;1;02/02/15
Haywire (UA);Sorcerer, Warlock, Wizard;Enchantment;Action;27.43;Concentration, up to 1 minute;;1;1;02/02/15
Healing Elixir (UA);Warlock, Wizard;Conjuration;1 Minute;0.00;24 hours;alchemist's supplies;1;1;02/02/15
Icingdeath's Frost (UA);Sorcerer, Wizard;Evocation;Action;0.00;Instantaneous;a vial of meltwater;0;1;02/02/15
Id Insinuation (UA);Sorcerer, Warlock, Wizard;Enchantment;Action;18.29;Concentration, up to 1 minute;;1;1;02/02/15
Infallible Relay (UA);Sorcerer, Warlock, Wizard;Divination;1 Minute;0.00;Concentration, up to 10 minutes;a mobile phone;1;1;02/02/15
Invisibility To Cameras (UA);Sorcerer, Warlock, Wizard;Illusion;Action;3.05;Concentration, up to 1 minute;a scrap of black paper;1;1;02/02/15
Mental Barrier (UA);Sorcerer, Warlock, Wizard;Abjuration;Reaction;0.00;1 round;;1;0;02/02/15
Mind Thrust (UA);Sorcerer, Warlock, Wizard;Enchantment;Bonus;18.29;1 round;;1;1;02/02/15
Nathair's Mischief (UA);Bard, Sorcerer, Wizard;Illusion;Action;18.29;Concentration, up to 1 minute;a piece of crust from an apple pie;0;1;02/02/15
Otherworldly Form (UA);Cleric, Sorcerer, Warlock, Wizard;Transmutation;Action;0.00;Concentration, up to 1 minute;an object engraved with a symbol of the Outer Planes, worth at least 500 gp;1;1;02/02/15
Protection from Ballistics (UA);Sorcerer, Warlock, Wizard;Abjuration;Action;0.00;Concentration, up to 10 minutes;a shell casing;1;1;02/02/15
Psionic Blast (UA);Sorcerer, Warlock, Wizard;Evocation;Action;0.00;Instantaneous;;1;0;02/02/15
Psychic Crush (UA);Sorcerer, Warlock, Wizard;Enchantment;Action;18.29;1 minute;;1;1;02/02/15
Puppet (UA);Bard, Warlock, Wizard;Enchantment;Action;36.58;Instantaneous;;1;0;02/02/15
Raulothim's Psychic Lance (UA);Bard, Sorcerer, Warlock, Wizard;Enchantment;Action;36.58;Instantaneous;;1;0;02/02/15
Remote Access (UA);Sorcerer, Warlock, Wizard;Transmutation;Action;36.58;10 minutes;;1;1;02/02/15
Sense Emotion (UA);Bard, Warlock, Wizard;Divination;Action;0.00;Concentration, up to 1 minute;;1;1;02/02/15
Shutdown (UA);Sorcerer, Warlock, Wizard;Transmutation;Action;36.58;Concentration, up to 1 minute;;1;1;02/02/15
Sudden Awakening (UA);Bard, Ranger, Sorcerer, Wizard;Enchantment;Bonus;3.05;Instantaneous;;1;0;02/02/15
Summon Draconic Spirit (UA);Druid, Sorcerer, Wizard;Conjuration;Action;18.29;Concentration, up to 1 hour;an art object from a dragon's hoard, worth at least 500 gp;1;1;02/02/15
Synchronicity (UA);Sorcerer, Warlock, Wizard;Enchantment;Action;0.00;Concentration, up to 1 hour;;1;1;02/02/15
System Backdoor (UA);Sorcerer, Warlock, Wizard;Transmutation;1 Minute;0.00;Concentration, up to 1 hour;hacking tools;1;1;02/02/15
Thought Shield (UA);Sorcerer, Warlock, Wizard;Abjuration;Action;0.00;8 hours;;1;1;02/02/15
Wild Cunning (UA);Druid, Ranger;Transmutation;Action;36.58;Instantaneous;;1;1;02/02/15
Abi-Dalzim's Horrid Wilting;Sorcerer, Warlock, Wizard;Necromancy;Action;45.72;Instantaneous;a bit of sponge;1;1;01/03/15
Absorb Elements;Artificer, Druid, Ranger, Sorcerer, Wizard;Abjuration;Reaction;0.00;1 round;;0;1;01/03/15
Aganazzar's Scorcher;Sorcerer, Wizard;Evocation;Action;9.15;Instantaneous;a red dragon's scale;1;1;01/03/15
Beast Bond;Druid, Ranger;Divination;Action;0.00;Concentration, up to 1 minute;a bit of fur wrapped in cloth;1;1;01/03/15
Bones of the Earth;Druid;Transmutation;Action;36.58;Instantaneous;;1;1;01/03/15
Catapult;Artificer, Sorcerer, Wizard;Transmutation;Action;18.29;Instantaneous;;0;1;01/03/15
Control Flames;Druid, Sorcerer, Wizard;Transmutation;Action;18.29;Instantaneous or 1 hour;;0;1;01/03/15
Control Winds;Druid, Sorcerer, Wizard;Transmutation;Action;91.44;Concentration, up to 1 hour;;1;1;01/03/15
Create Bonfire;Druid, Sorcerer, Warlock, Wizard;Conjuration;Action;18.29;Concentration, up to 1 minute;;1;1;01/03/15
Dust Devil;Druid, Sorcerer, Wizard;Conjuration;Action;18.29;Concentration, up to 1 minute;a pinch of dust;1;1;01/03/15
Earth Tremor;Bard, Druid, Sorcerer, Wizard;Evocation;Action;0.00;Instantaneous;;1;1;01/03/15
Earthbind;Druid, Sorcerer, Warlock, Wizard;Transmutation;Action;91.44;Concentration, up to 1 minute;;1;0;01/03/15
